cat,Nordeste,Centro-Oeste,Sul
Auto,1.2740542328888003,1.2055690784675384,0.9599694010997843
Bed Bath Table,0.5463755974375375,0.7835084682371624,0.9172584780872473
Computers Accessories,0.9635767085771263,0.9650585519175535,1.0198047940156345
Cool Stuff,1.1043822867375734,1.076691327170208,1.220421592636397
Furniture Decor,0.8070325401838994,0.7950300684109115,1.2938163224035437
Garden Tools,1.0577156965067267,1.1714891809379209,1.1227294058014616
Health Beauty,1.413533066476114,1.0521747032340614,0.8033972176986814
Housewares,0.6032101504576535,1.039964677558982,1.0756683307531358
Sports Leisure,0.9046123731313834,0.9505148132065806,1.076140157650638
Watches Gifts,1.2361088216579912,1.1148446427390613,0.8118292701368063
