cat,receita,produto,pedidos,share,ticket_cat,cum
Health Beauty,1412089.53,1233131.72,8647,0.09157654015513685,142.60803978258355,0.09157654015513685
Watches Gifts,1264333.12,1166176.98,5495,0.08199427180311256,212.225110100091,0.17357081195824942
Bed Bath Table,1225209.26,1023434.76,9272,0.07945701927046757,110.37907247627265,0.25302783122871697
Sports Leisure,1118256.91,954852.55,7530,0.07252096743637369,126.8064475431607,0.3255487986650907
Computers Accessories,1032723.77,888724.61,6530,0.06697398980967538,136.09871516079633,0.39252278847476607
Furniture Decor,880329.92,711927.6900000001,6307,0.05709097515130532,112.87897415570002,0.4496137636260714
Housewares,758392.25,615628.69,5743,0.049183098422569266,107.19635904579486,0.4987968620486407
Cool Stuff,691680.89,610204.1,3559,0.044856747006420894,171.4538072492273,0.5436536090550617
Auto,669454.75,578966.65,3810,0.04341534194040947,151.95975065616798,0.5870689509954712
Garden Tools,567145.68,470495.27999999997,3448,0.03678041514714184,136.4545475638051,0.623849366142613
Toys,547061.06,471286.48,3804,0.03547789149630033,123.89234490010514,0.6593272576389133
Baby,466727.65,400421.84,2809,0.030268125691532928,142.54960484158065,0.6895953833304462
Perfumery,443171.63,390144.65,3086,0.028740475520920013,126.42406027219702,0.7183358588513662
Telephony,379202.62,309860.23,4093,0.024591970423690556,75.70491815294405,0.7429278292750567
Office Furniture,335211.36,268154.31,1254,0.021739058266013793,213.83916267942584,0.7646668875410705
