seller_id,receita,pedidos,review_medio,lead_time,pct_prom,nps_proxy,receita_n,nps_proxy_n,speed_n,priority
4869f7a5dfa277a7dca6462dcf3b52b2,247007.06,1124,4.139473684210526,14.54965156794425,0.7752613240418118,77.52613240418118,1.0,0.7189531480215073,0.5394439578218161,0.8235747359708154
53243585a1d6dc2643021fd1853d8905,230797.02,348,4.128140703517588,12.94,0.7975,79.75,0.9338397849247322,0.7509513495501499,0.6137548718034682,0.8149562716881047
fa1c13f2614d7b5c4749cbc52fecda94,200833.5,578,4.373913043478261,12.839378238341968,0.8566493955094991,85.66493955094991,0.8115456432932441,0.8360586770443242,0.6184001597801712,0.7802704567159535
4a3ca9315b744ce9f8e9374361493884,231220.43,1772,3.831344058121432,13.93945613134941,0.672139558748076,67.2139558748076,0.9355679050691007,0.5705760128871016,0.5676141416701795,0.7524795847347168
7e93a43ef30c4f03f38b393420bc753a,171973.55,319,4.364485981308412,10.832298136645962,0.8416149068322981,84.16149068322981,0.693755650235764,0.8144262471515705,0.7110586951810345,0.7334174382995601
da8622b14eb17ae2831f4ac5b9dab84a,184706.78,1311,4.071984435797665,10.698320413436692,0.7622739018087855,76.22739018087856,0.7457254933331809,0.7002661472876828,0.7172438890845678,0.7263913686698089
7a67c85e85bb2ce8582c35f2203ad736,160278.52,1145,4.269398430688753,10.692640692640692,0.8112554112554112,81.12554112554112,0.6460231523448452,0.770743374142241,0.7175060981563425,0.6977358080463634
955fee9216a65b617aa5c0531780ce60,156606.48,1261,4.088235294117647,10.298913043478262,0.7629076086956522,76.29076086956522,0.6310359619267473,0.7011779587963433,0.7356828651360897,0.6730079416294945
1025f0e2d44d7041d6cf58b6550e0bfa,171924.96,910,3.8792613636363638,11.569014084507042,0.7112676056338029,71.12676056338029,0.6935573333376869,0.6268755485260782,0.6770475858697601,0.6702508484006189
6560211a19b47992c3666cc44a7e94c0,148050.94,1819,3.950985346134411,9.058617234468938,0.718937875751503,71.8937875751503,0.5961170865578366,0.6379119451832689,0.7929421608809485,0.6480205590100886
7c67e1448b00f6e969d365cea6b010ab,237806.69,973,3.3511507052709724,21.945387453874538,0.5549815498154982,55.49815498154982,0.9624492932792245,0.40200277644229293,0.19801361090998193,0.6414282017542965
46dc3b2cc0980fb8ec44634e21d2718e,134162.88,503,4.263565891472868,11.323135755258127,0.8164435946462715,81.64435946462714,0.5394338805584545,0.7782084110905031,0.6883987650557647,0.6408592166175312
a1043bafd471dff536d0c462352beb48,130412.74,702,4.246666666666667,13.123670212765957,0.8257978723404256,82.57978723404256,0.5241279301127822,0.7916678483058839,0.6052755824630589,0.6206194360407681
cc419e0650a3c5ba77189a1882b7556a,125936.98999999999,1651,4.141107871720116,11.063408958696916,0.7737056428155905,77.37056428155906,0.5058604500434468,0.7167147503091369,0.7003892703442103,0.6080225041833066
620c87c171fb2a6dd6e8bb4dec959fc6,126278.18,722,4.26797385620915,12.447300771208226,0.800771208226221,80.0771208226221,0.5072529946504639,0.7556581396603873,0.6365007447232404,0.6076240881679962
5dceca129747e92ff8ef7a997dc4f8ca,124702.92,322,4.017699115044247,10.769679300291545,0.7434402332361516,74.34402332361516,0.5008236742786779,0.6731672532868053,0.7139495462537961,0.5951519223761397
1f50f920176fa81dab994f9023523100,141712.94,1399,3.991136600625652,15.106957424714434,0.7424714434060229,74.24714434060229,0.5702489552548264,0.6717733064402555,0.513715465762624,0.5893995627120147
3d871de0142ce09b7081e2b9d1733cb1,115515.65,1064,4.150134048257373,12.956675508399647,0.7780725022104332,77.80725022104332,0.46332643434869897,0.7229980221741588,0.6129850329793622,0.5711596304224695
edb1ef5e36e0c8cd84eb3c9b003e486d,83031.14,165,4.454022988505747,11.25287356321839,0.8793103448275862,87.93103448275862,0.3307430373790008,0.8686644681657838,0.6916424780510532,0.5642993547494461
7d13fca15225358621be4086e1eb0964,120934.47,558,4.017605633802817,15.22416812609457,0.7530647985989493,75.30647985989492,0.48544299276892267,0.687015594918448,0.5083043354773831,0.5504870419554724
e882b2a25a10b9c057cc49695f222c19,53913.759999999995,57,4.586206896551724,9.017241379310345,0.9310344827586207,93.10344827586206,0.2119023606608495,0.9430879362051728,0.7948523119191228,0.5478480235758012
fe2032dab1a61af8794248c8196565c9,70400.6,293,4.395348837209302,10.118032786885246,0.8491803278688524,84.91803278688525,0.2791923167813482,0.8253117813187953,0.7440333538109956,0.5359963635485118
f8db351d8c4c4c22c6835c19a46f01b0,62487.02,659,4.251758087201125,9.431372549019608,0.8179271708683473,81.79271708683473,0.24689355904754012,0.7803430602497579,0.7757335993093564,0.5126964174605686
37be5a7c751166fbc5f8ccba4119e043,60756.76,269,4.32,10.16906474820144,0.841726618705036,84.17266187050359,0.23983161634190012,0.8145869841947168,0.7416774205374823,0.5126273875368615
d13e50eaa47b4cbe9eb81465865d8cfc,7907.55,66,4.8088235294117645,4.573529411764706,0.9705882352941176,97.05882352941177,0.02413103200293537,1.0,1.0,0.5120655160014678
